做客	zuò kè	làm khách
广播	guǎngbò	phát thanh
电台	diàntái	đài
邀请	yāoqǐng	mời
呆	dāi	ở lại, lưu lại
签	qiān	ký
合同	hétóng	hợp đồng
中外	zhōng-wài	Trung Quốc và nước ngoài
合资	hézī	hợp tác đầu tư
空儿	kòngr	thời gian trống
地址	dìzhǐ	địa chỉ
业务	yèwù	nghiệp vụ
搞	gǎo	làm
交流	jiāoliú	giao lưu
成立	chénglì	thành lập
不久	bùjiǔ	không lâu
开展	kāizhǎn	mở ra, triển khai
继续	jìxù	tiếp tục
一定	yídìng	nhất định
基础	jīchǔ	cơ sở
只要...才...	zhǐyào...cái...	chỉ cần...mới...
光	guāng	nhẵn bóng, hết sạch
抽	chōu	rút
同意	tóngyì	đồng ý
海伦	Hǎilún	Hải Luân
民族	mínzú	dân tộc
风俗	fēngsú	phong tục
路线	lùxiàn	tuyến
一边...一边...	yìbiān...yìbiān...	vừa...vừa...
考察	kǎochá	khảo sát
公费	gōngfèi	công phí
碑林	Bēilín	Rừng bia
重庆	Chóngqìng	Trùng Khánh
长江	Cháng Jiāng	Trường Giang
三峡	Sānxiá	Tam Hiệp
苏州	Sūzhōu	Tô Châu
句	jù	câu
困难	kùnnán	khó khăn
警察	jǐngchá	cảnh sát
到处	dàochù	khắp nơi
感动	gǎndòng	cảm động
十字路口	shízì lùkǒu	ngã tư đường
对	duì	đối
夫妻	fūqī	vợ chồng
看样子	kàn yàngzi	xem dáng vẻ, hình như
样子	yàngzi	hình dáng, kiểu
农村	nóngcūn	nông thôn
来往	láiwǎng	qua lại
敢	gǎn	dám
立即	lìjí	ngay, lập tức
扶	fú	đỡ, hỗ trợ
情景	qíngjǐng	tình cảnh
可	kě	khả
发生	fāshēng	xảy ra, phát sinh
滚	gǔn	lăn
抱	bào	bế, ôm
鞋带	xiédài	dây giày
鞋	xié	giày
脚	jiǎo	chân
伸	shēn	duỗi ra
面前	miànqián	trước mặt
叔叔	shūshu	chú
弯	wān	khom, cong
腰	yāo	lưng
梅	méi	cây mai
画	huà	bức tranh, vẽ
画家	huàjiā	họa gia
松	sōng	cây tùng
竹	zhú	tre
骄傲	jiāo'ào	kiêu ngạo
岁寒三友	suì hán sān yǒu	ba người bạn mùa đông
字画	zìhuà	tranh chữ
过奖	guòjiǎng	quá khen
朴正浩	Piáo Zhènghào	Park Jungho
电台	diàntái	đài
邀请	yāoqǐng	mời
呆	dāi	ở lại, lưu lại
签	qiān	ký
合同	hétóng	hợp đồng
中外	zhōng-wài	Trung Quốc và nước ngoài
合资	hézī	hợp tác đầu tư
空儿	kòngr	thời gian trống
地址	dìzhǐ	địa chỉ
业务	yèwù	nghiệp vụ
搞	gǎo	làm
交流	jiāoliú	giao lưu
成立	chénglì	thành lập
不久	bùjiǔ	không lâu
开展	kāizhǎn	mở ra, triển khai
继续	jìxù	tiếp tục
数字	shùzi	chữ số, con số
连…也…	lián…yě…	ngay cả…cũng…
简单	jiǎndān	đơn giản, dễ
一半	yībàn	một nửa
中国通	zhōngguótōng	người am hiểu về Trung Quốc
通	tōng	am hiểu, thông thạo
少	shào	trẻ tuổi
别人	biérén	người khác, người ta
伟大	wěidà	to lớn, vĩ đại
可	kě	biểu thị nhấn mạnh
申请	shēnqǐng	xin
专利	zhuānlì	bằng quyền
认为	rènwéi	cho rằng
吉利	jílì	tốt lành và thuận lợi
音	yīn	âm thanh
笨	bèn	đần, ngu ngốc
谐音	xiéyīn	hài âm
巧克力	qiǎokèlì	sô-cô-la
土豆	tǔdòu	khoai tây
胡说	húshuō	nói liều, nói bừa
友谊	yǒuyì	tình hữu nghĩ, tình bạn
长久	chángjiǔ	lâu dài
爱情	àiqíng	tình yêu, ái tình
活	huó	sống
顺	shùn	thuận lợi, thuận
宴会	yànhuì	tiệc, bữa tiệc
规矩	guīju	nền nếp, phép tắc
首先	shǒuxiān	đầu tiên
重要	zhòngyào	quan trọng, trọng yếu
领导	lǐngdǎo	lãnh đạo
长辈	zhǎngbèi	bề trên, bậc trên
上座	shàngzuò	chỗ ngồi cao quý nhất
敬酒	jìngjiǔ	kính
上菜	shàngcài	dọn món ăn ra
如果	rúguǒ	nếu như
上次	shàngcì	lần trước
下次	xiàcì	lần sau
干杯	gānbēi	cạn ly, nâng ly
代替	dàitì	thay thế, thay
当	dāng	làm, thay cho
哈哈	hāhā	ha ha, khả khả
吹	chuī	thổi, thổi phồng
戴面具	【Dài miànjù】	Đeo mặt nạ
武功	【wǔgōng】	võ công
旗袍	【qípáo】	sườn xám, xường xám
发脾气	【fā píqì】	phát cáu, nổi giận, tức giận, mất bình tĩnh
怒气	【nùqì】	cơn giận dữ, cơn thịnh nộ, vẻ giận dữ, nộ khí, nư
贪婪	【tānlán】	tham lam
自私	【zìsī】	ích kỷ
合约	【héyuē】	hợp đồng, giao kèo
合同	【hétong】	hợp đồng, giao kèo
相反	【xiāngfǎn】	tương phản, đối lập, trái ngược nhau
悄悄	【qiāoqiāo】	lặng lẽ, khe khẽ, nhẹ nhàng
聚会	【jùhuì】	tụ tập, tụ họp, gặp gỡ
反应	【fǎnyìng】	phản ứng
公告	gōng gào	thông báo, công bố
开心	kāi xīn	vui vẻ
阿弥陀佛	ē mí tuó fó	A Di Đà Phật
邀请	yāo qǐng	mời
邀请函	yāo qǐng hán	thư mời
邀请赛	yāo qǐng sài	giải đấu mời
原则	yuán zé	nguyên tắc
婚礼	hūn lǐ	đám cưới
国际机场	guó jì jī chǎng	sân bay quốc tế
广播	guǎng bò	phát thanh, phát sóng
电台	diàn tái	đài phát thanh
广播电台	guǎng bò diàn tái	đài phát thanh
海南	hǎi nán	Hải Nam
合作	hé zuò	hợp tác
合同	hé tóng	hợp đồng
公司	gōng sī	công ty
合约	hé yuē	hợp đồng
文化	wén huà	văn hóa
停电	tíng diàn	mất điện
眼镜	yǎn jìng	kính mắt
突然	tū rán	đột nhiên
事故	shì gù	tai nạn
决定	jué dìng	quyết định
变化	biàn huà	thay đổi
脸书	liǎn shū	Facebook
照片	zhào piàn	ảnh, bức ảnh
名字	míng zì	tên
意外	yì wài	bất ngờ, ngoài ý muốn
危险	wēi xiǎn	nguy hiểm
绑起来	bǎng qǐ lái	buộc lại
收起来	shōu qǐ lái	thu dọn lại
画出来	huà chū lái	vẽ ra
洗出来	xǐ chū lái	rửa ra
坚持	jiān chí	kiên trì
按时	àn shí	đúng giờ
解决	jiě jué	giải quyết
心心	xīn xīn	tâm tư, lòng dạ
产假	chǎn jià	nghỉ thai sản
产生	chǎn shēng	sản sinh, phát sinh
障	zhàng	chướng ngại, cản trở
开除	kāi chú	đuổi việc, khai trừ
结果	jié guǒ	kết quả
解雇	jiě gù	sa thải
辞退	cí tuì	sa thải, từ chối
辞职	cí zhí	từ chức
炒鱿鱼	chǎo yóu yú	bị sa thải
直播	zhí bō	livestream, phát trực tiếp
民族	mín zú	dân tộc
少数民族	shǎo shù mín zú	dân tộc thiểu số
调查	diào chá	điều tra
考察	kǎo chá	khảo sát
调整	tiáo zhěng	điều chỉnh
路线	lù xiàn	tuyến đường, lộ trình
外地	wài dì	ngoại tỉnh, nơi khác
饥饿	jī è	đói khát
保险	bǎo xiǎn	bảo hiểm
锻炼	duàn liàn	rèn luyện, tập thể dục
刷牙	shuā yá	đánh răng
换衣服	huàn yī fú	thay quần áo
见面	jiàn miàn	gặp mặt
说话	shuō huà	nói chuyện
事情	shì qíng	sự việc, chuyện
北京烤鸭	běi jīng kǎo yā	vịt quay Bắc Kinh
从来	cóng lái	từ trước đến nay
购买	gòu mǎi	mua sắm
眼镜	yǎn jìng	kính mắt
错	cuò	sai, lỗi
遇到	yù dào	gặp phải
